"4","Yoga Mild","2","1","23"
"51","Apple juice readytodrink","59","100","23"
"73","Avocado","161","100","23"
"74","Avocado","161","100","1"
"3","Beef Ground lean crumbled pan-fried","194","100","23"
"4","Beer regular 5 percent alcohol","140","100","23"
"6","Apple with skin 7cm diam","72","100","23"
"1","Aerobics Low impact","5","1"
"39","Aerobics Step","8","1"
"40","Basketball Shooting Hoops","4","1"
"41","Bicycling  moderate","7","1"
"42","Bike Stationary","6","1"
"43","Bowling","3","1"
"44","Boxing Punching bag","5","1"
"45","Chopping Wood","5","1"
"46","Circuit Training","7","1"
"47","Cleaning House","3","1"
"48","Cooking","2","1"
"49","Dancing","4","1"
"50","Elliptical Trainer","7","1"
"51","Football Touch or Flag","7","1"
"52","Gardening","4","1"
"53","Golf Carrying clubs","4","1"
"54","Golf Using Cart","3","1"
"55","Heavy Lifting plus 35 Kg","7","1"
"56","Hiking","5","1"
"57","Martial Arts","9","1"
"58","Playing with Kids","4","1"
"59","Racquetball","6","1"
"60","Reading Sitting","1","1"
"61","Rock Climbing","10","1"
"62","Rope Jumping","9","1"
"63","Running 20 Km per H","7","1"
"64","Running 15 Km per H","10","1"
"65","Shopping","2","1"
"66","Shoveling Snow","5","1"
"67","Sitting Light Office Work","1","1"
"68","Skiing Downhill","5","1"
"69","Sleeping","1","1"
"70","Soccer","6","1"
"71","Softball or Baseball","5","1"
"72","Stair Machine","8","1"
"73","Swimming Laps","9","1"
"74","Tennis","6","1"
"75","Walking 25 Km per H","5","1"
"76","Walking 30 Km per H","3","1"
"77","Watching TV","1","1"
"78","Weight Lifting Light","3","1"
"79","Weight Lifting Vigorous","5","1"
"80","Yoga Mild","2","1"
"1","Almonds dried","208","100"
"173","Apple juice readytodrink","59","100"
"174","Apple with skin 7cm diam","72","100"
"175","Avocado","161","100"
"176","Bacon pork broiled fried","130","100"
"177","Bagel plain 10cm diam","195","100"
"178","Banana","105","100"
"179","Banana bread","196","100"
"180","Beans kidney canned not drained","161","100"
"181","Beans baked plain canned","177","100"
"182","Beans snap green yellow Italian fresh","22","100"
"183","Beef Ground lean crumbled pan-fried","194","100"
"184","Beef Ground regular crumbled pan-fried","243","100"
"185","Beef Rib steak lean plus fat, broiled","232","100"
"186","Beef Sirloin tip roast lean plus fat roasted","156","100"
"187","Beer light 4 percent alcohol","99","100"
"188","Beer regular 5 percent alcohol","140","100"
"189","Blueberries raw","44","100"
"190","Bologna baloney beef and pork","153","100"
"191","Bread stick plain 19cm X 2cm","41","100"
"192","Bread mixed grain","88","100"
"193","Bread white commercial","93","100"
"194","Bread whole wheat commercial","86","100"
"195","Breakfast English muffin egg cheese bacon","289","100"
"196","Broccoli chopped boiled drained","29","100"
"197","Burrito with beans and cheese","189","100"
"198","Cabbage green shredded raw","9","100"
"199","Caesar Salad","179","100"
"200","Caesar salad with chicken","491","100"
"201","Carrots raw","25","100"
"202","Cashews roasted salted","199","100"
"203","Celery raw","6","100"
"204","Cereal All Bran Kellogg?sTM","92","100"
"205","Cereal Cheerios regular General MillsTM","95","100"
"206","Cheese crackers small","75","100"
"207","Cheese puffs or twists","205","100"
"208","Cheese Cheddar","202","100"
"209","Cheeseburger double cond veg","650","100"
"210","Cheeseburger single patty, plain","319","100"
"211","Cherries sweet","43","100"
"212","Chicken chow mein","200","100"
